0,1,2
109,194,0
107,210,0
105,212,0
104,88,0
102,102,0
100,136,0
98,164,0
97,54,0
95,90,0
93,144,0
91,150,0
89,232,0
88,20,0
86,56,0
84,42,0
82,138,0
80,202,0
79,0,0
77,8,0
75,140,0
74,26,0
72,122,0
70,66,0
68,32,0
66,80,0
64,80,0
62,20,0
59,222,0
58,82,0
56,148,0
54,232,0
52,190,0
51,60,0
49,140,0
48,46,0
46,20,0
43,234,0
41,178,0
39,238,0
37,236,0
36,50,0
34,82,0
32,190,0
30,254,0
29,98,0
27,132,0
